OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
56839,6804,Collector,MAJOR,DUKE ST W,QUEEN ST N,ONTARIO ST N,7,7,10,32,REGIONAL RD 63,2,REG,TwoWay,REG PLAN 396,4/22/2003 12:00:00 AM,50,6819,2015,24HR,119.503927734806
56840,8950,Collector,MAJOR,DUKE ST W,COLLEGE ST,WATER ST N,,,150,166,REGIONAL RD 63,2,REG,TwoWay,REG PLAN 374,4/22/2003 12:00:00 AM,50,5725,2015,24HR,106.227793654556
56841,8941,Collector,MAJOR,DUKE ST W,WATER ST N,FRANCIS ST N,,,,,REGIONAL RD 63,3,REG,TwoWay,REG PLAN 41,4/22/2003 12:00:00 AM,50,5910,2015,24HR,105.75827273129
56843,4299,Arterial,MAJOR,IRA NEEDLES BLVD,THE BOARDWALK,UNIVERSITY AVE W,,,,,REGIONAL RD 70,4,REG,TwoWay,58R-6517,2/18/2004 12:00:00 AM,50,22796,2015,24HR,188.036043718907
56850,6888,Arterial,MAJOR,COURTLAND AVE E,GRENVILLE AVE,OTTAWA ST S,420,440,421,443,REGIONAL RD 53,3,REG,TwoWay,REG PLAN 242,4/22/2003 12:00:00 AM,50,10544,2015,24HR,91.0625735774154
56861,9756,Arterial,MAJOR,FISCHER HALLMAN RD,ROCKWOOD RD,BLEAMS RD,1198,1198,1193,1201,REGIONAL RD 58,5,REG,TwoWay,58R-7094,8/13/2002 12:00:00 AM,60,20516,2015,24HR,214.381734768331
56862,11454,Arterial,MAJOR,COURTLAND AVE E,BEDFORD RD,MILL ST,,,,,REGIONAL RD 53,3,REG,TwoWay,REG PLAN 384,4/22/2003 12:00:00 AM,50,16623,2015,24HR,9.51353204762254
56864,6886,Arterial,MAJOR,OTTAWA ST S,COURTLAND AVE E,LILAC ST,241,253,246,254,REGIONAL RD  4,3,REG,TwoWay,REG PLAN 242,4/22/2003 12:00:00 AM,50,13697,2015,24HR,86.9958134172771
56893,6846,Arterial,MAJOR,WEBER ST E,BETZNER AVE N,PANDORA AVE N,178,194,177,191,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 129,4/22/2003 12:00:00 AM,50,17680,2015,7-7 MON-FRI,86.9752539520142
56907,5734,Arterial,MAJOR,QUEEN ST S,WOODSIDE AVE,BROCK ST,,,694,724,REGIONAL RD  6,3,REG,TwoWay,REG PLAN 297,4/22/2003 12:00:00 AM,50,16241,2015,24HR,59.5695682859899
